cell_type,gene,is_new
L2/3 IT,Calb1,FALSE
L2/3 IT,Col19a1,FALSE
L2/3 IT,Cux2,FALSE
L2/3 IT,Enpp2,FALSE
L2/3 IT,Fam19a1,FALSE
L2/3 IT,Lrrtm4,FALSE
L2/3 IT,Otof,FALSE
L2/3 IT,Rasgrf2,FALSE
L5 ET,Coro6,FALSE
L5 ET,Fam19a1,FALSE
L5 ET,Hcn1,FALSE
L5 ET,Kcnn2,FALSE
L5 ET,Lpp,FALSE
L5 ET,Rab3c,FALSE
L5 IT,Fam19a2,FALSE
L5 IT,Fat3,FALSE
L5 IT,Galntl6,FALSE
L5 IT,Il1rapl2,FALSE
L5 IT,Rora,FALSE
L5 IT,Rorb,FALSE
L5 IT,Slc24a3,FALSE
L5/6 NP,Grik1,FALSE
L5/6 NP,Kcnip1,FALSE
L5/6 NP,Nxph1,FALSE
L5/6 NP,Tshz2,FALSE
L5/6 NP,Vwc2l,FALSE
L6 CT,Foxp2,FALSE
L6 CT,Hs3st4,FALSE
L6 CT,Nrp1,FALSE
L6 CT,Tle4,FALSE
L6 CT,Zfpm2,FALSE
L6 IT,C1ql3,FALSE
L6 IT,Cdh9,FALSE
L6 IT,Dgkb,FALSE
L6 IT,Galnt14,FALSE
L6 IT,Rasl10a,FALSE
L6 IT,Sdk1,FALSE
L6 IT,Sorcs3,FALSE
L6 IT,Tenm3,FALSE
L6 IT Car3,Car3,FALSE
L6 IT Car3,Col11a1,FALSE
L6 IT Car3,Cpne4,FALSE
L6 IT Car3,Gfra1,FALSE
L6 IT Car3,Nr4a2,FALSE
L6 IT Car3,Oprk1,FALSE
L6 IT Car3,Synpr,FALSE
L6b,Cdh18,FALSE
L6b,Cplx3,FALSE
L6b,Ctgf,FALSE
L6b,Fbxl7,FALSE
L6b,Inpp4b,FALSE
L6b,Svil,FALSE
L6 IT Car3,Gnb4,FALSE
L2/3 IT,Lamp5,TRUE
L2/3 IT,Dab1,TRUE
L4/5 IT,Zmat4,TRUE
L4/5 IT,Hs6st3,TRUE
L4/5 IT,Nrsn1,TRUE
L4/5 IT,Satb1,TRUE
L4/5 IT,Camk4,TRUE
L4/5 IT,Rgs4,TRUE
L5 IT,Pcp4,TRUE
L5 IT,Hs3st2,TRUE
L5 IT,Tmsb10,TRUE
L6 IT,Cdh13,TRUE
L6 IT,Igsf21,TRUE
L6 IT,Gria1,TRUE
L6 IT Car3,Zfp804a,TRUE
IT,Brinp3,TRUE
IT,Cbln2,TRUE
IT,Etv1,TRUE
IT,Nnat,TRUE
IT,Lypd1,TRUE
IT,Ncam2,TRUE
IT,Alcam,TRUE
IT,Timp2,TRUE
IT,Zfp804b,TRUE
IT,Marcksl1,TRUE
IT,Kctd1,TRUE
IT,Ptprk,TRUE
IT,Sgcd,TRUE
IT,Efna5,TRUE
IT,Syt17,TRUE
IT,Olfm3,TRUE
IT,Trhde,TRUE
IT RSP,Actb,TRUE
IT RSP,Pam,TRUE
IT TPE-ENT,Slc24a2,TRUE
PT,Spock3,TRUE
PT,Tmtc2,TRUE
PT,Dcc,TRUE
PT,Grin3a,TRUE
PT,Car10,TRUE
PT,Nrg1,TRUE
PT,Prkca,TRUE
PT,Ncald,TRUE
PT,Htr2a,TRUE
PT,Syt2,TRUE
PT,Nell1,TRUE
PT,Sv2c,TRUE
PT,Rcan2,TRUE
PT,Reln,TRUE
PT,Gpc5,TRUE
PT,Lmo4,TRUE
IT/PT,Scnn1a,TRUE
